Changelist ID,Change Type,Description,Previous Change ID,Current Change ID,Date & Time
10143477,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-30T05:01:17+00:00
10138287,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-29T05:01:15+00:00
10087607,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-23T20:27:24+00:00
10019843,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-14T16:27:44+00:00
9985359,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-11T00:27:43+00:00
9983061,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-10T20:30:58+00:00
9976245,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-10T08:30:53+00:00
9962253,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-08T12:31:53+00:00
9948536,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-06T16:30:58+00:00
9922622,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-11-04T08:30:44+00:00
9836414,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-10-25T16:30:46+00:00
9835459,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-10-25T12:30:48+00:00
9717057,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-10-12T13:47:57+00:00
9711632,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-10-11T17:47:56+00:00
9616486,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-30T16:26:42+00:00
9559321,unverified,SteamDB requires a token,,,2020-09-30T08:05:45+00:00
9559321,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-24T04:02:31+00:00
9541405,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-22T22:59:44+00:00
9520344,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-20T02:59:35+00:00
9500451,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-17T16:00:47+00:00
9482089,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-15T18:30:45+00:00
9476984,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-15T06:30:31+00:00
9470857,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-14T14:30:39+00:00
9458411,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-12T18:30:58+00:00
9428871,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-10T08:23:53+00:00
9425475,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-10T00:23:50+00:00
9397758,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-07T12:02:43+00:00
9389319,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-06T00:02:41+00:00
9388411,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-05T20:02:46+00:00
9386371,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-05T12:02:44+00:00
9370328,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-09-03T20:02:50+00:00
9342638,diff-modified,ChangedUser Tags (store_tags)Removed5379:2D Platformer(5379)Added6971:Multiple Endings(6971),2D Platformer,Multiple Endings,2020-09-01T13:47:21+00:00
9342638,diff-removed,Removed5379:2D Platformer(5379),2D Platformer,2D Platformer,2020-09-01T13:47:21+00:00
9342638,diff-added,Added6971:Multiple Endings(6971),Multiple Endings,Multiple Endings,2020-09-01T13:47:21+00:00
9323184,diff-modified,ChangedUser Tags (store_tags)Removed9551:Dating Sim(9551)Added5379:2D Platformer(5379),Dating Sim,2D Platformer,2020-08-30T01:47:15+00:00
9323184,diff-removed,Removed9551:Dating Sim(9551),Dating Sim,Dating Sim,2020-08-30T01:47:15+00:00
9323184,diff-added,Added5379:2D Platformer(5379),2D Platformer,2D Platformer,2020-08-30T01:47:15+00:00
9318988,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-29T13:47:26+00:00
9271481,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-25T18:32:20+00:00
9235116,diff-modified,ChangedUser Tags (store_tags)Removed5144:Unknown tag(5144)Added9551:Dating Sim(9551),Unknown tag,Dating Sim,2020-08-21T00:12:41+00:00
9235116,diff-removed,Removed5144:Unknown tag(5144),Unknown tag,Unknown tag,2020-08-21T00:12:41+00:00
9235116,diff-added,Added9551:Dating Sim(9551),Dating Sim,Dating Sim,2020-08-21T00:12:41+00:00
9222880,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-19T20:08:16+00:00
9198791,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-17T07:17:25+00:00
9194609,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-16T11:17:30+00:00
9189160,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-15T07:17:22+00:00
9184416,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-14T15:17:26+00:00
9182588,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-14T11:17:20+00:00
9146586,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-10T15:22:44+00:00
9143783,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-10T07:22:35+00:00
9088752,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-08-03T12:17:18+00:00
9017860,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2020-07-24T10:07:09+00:00
